name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
EL GUESSE Abdelati,Male,Morocco,Morocco,['Athletics'],"[""Men's 800m""]",31,Yes,No,0
ALVAREZ BORGES Erislandy,Male,Cuba,Cuba,['Boxing'],"[""Men's 63.5kg""]",24,No,Yes,1
ISSAKA GARBA Nouridine,Male,Niger,Niger,['Taekwondo'],['Men -58kg'],19,No,No,0
WUILLIEZ Jadon,Male,Antigua and Barbuda,Antigua and Barbuda,['Swimming'],"[""Men's 100m Breaststroke""]",22,Yes,No,0
LOPEZ CARDONA Arlen,Male,Cuba,Cuba,['Boxing'],"[""Men's 80kg""]",31,Yes,Yes,1
SHAW Ellie,Female,Antigua and Barbuda,Antigua and Barbuda,['Swimming'],"[""Women's 100m Breaststroke""]",16,Yes,No,0
la CRUZ PERAZA Julio Cesar,Male,Cuba,Cuba,['Boxing'],"[""Men's 92kg""]",35,Yes,No,0
GREENE Cejhae,Male,Antigua and Barbuda,Antigua and Barbuda,['Athletics'],"[""Men's 100m""]",29,Yes,No,0
LLOYD Joella,Female,Antigua and Barbuda,Antigua and Barbuda,['Athletics'],"[""Women's 100m""]",22,No,No,0
ISSOUFOU Abdoul,Male,Niger,Niger,['Taekwondo'],['Men +80kg'],30,Yes,No,0
LOPEZ Gaby,Female,Mexico,Mexico,['Golf'],"[""Women's Individual Stroke Play""]",31,No,No,0
KULISH Serhiy,Male,Ukraine,Ukraine,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men']",31,Yes,Yes,1
KOROSTYLOV Pavlo,Male,Ukraine,Ukraine,['Shooting'],"['10m Air Pistol Men', '25m Rapid Fire Pistol Men']",27,Yes,No,0
HORODYNETS Maksym,Male,Ukraine,Ukraine,['Shooting'],['25m Rapid Fire Pistol Men'],26,Yes,No,0
BANKIN Viktor,Male,Ukraine,Ukraine,['Shooting'],"['10m Air Pistol Men', '10m Air Pistol Mixed Team']",34,Yes,No,0
KOSTEVYCH Olena,Female,Ukraine,Ukraine,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women', '10m Air Pistol Mixed Team']",39,Yes,No,0
MALOVICHKO Iryna,Female,Ukraine,Ukraine,['Shooting'],['Skeet Women'],31,Yes,No,0
KHAMIDOVA Navbakhor,Female,Uzbekistan,Uzbekistan,['Boxing'],"[""Women's 66kg""]",23,Yes,No,0
DUSMATOV Hasanboy,Male,Uzbekistan,Uzbekistan,['Boxing'],"[""Men's 51kg""]",31,Yes,Yes,1
KHALOKOV Abdumalik,Male,Uzbekistan,Uzbekistan,['Boxing'],"[""Men's 57kg""]",24,Yes,Yes,1
ABDULLAEV Ruslan,Male,Uzbekistan,Uzbekistan,['Boxing'],"[""Men's 63.5kg""]",22,Yes,No,0
TKACH Yaroslav,Male,Ukraine,Ukraine,['Sport Climbing'],"[""Men's Speed""]",23,No,No,0
KAZBEKOVA Ievgeniia,Female,Ukraine,Ukraine,['Sport Climbing'],"[""Women's Boulder & Lead""]",28,Yes,No,0
ALMUKHTAR Mek,Female,Libya,Libya,['Swimming'],"[""Women's 100m Backstroke""]",18,No,No,0
